08/28/2023,ZZSSRLSW,01/10/2023,HISPANIC,M,19,500000,CONSPIRACY,MANSON YI,NONE,ADAM,HOWARD
08/28/2023,ZZSSSBBR,07/31/2023,HISPANIC,M,17,150100,JUVENILE TRANSFER,MANSON YI,NONE,BRIAN,WYATT
08/28/2023,ZZSZRLRB,08/24/2023,BLACK,M,24,500000,CRIMINAL POSSESSION OF A PISTOL       DF,HARTFORD CC,NONE,ZACHARY,HART
08/28/2023,ZZHWSLBH,11/03/2021,HISPANIC,M,43,300000,SEXUAL ASSAULT 1ST DEGREE-AGGRVTD      F,GARNER,NONE,WILLIAM,FITZGERALD
08/28/2023,ZZSHWZEE,06/21/2023,BLACK,M,24,150000,"BURGLARY, FIRST DEGREE                BF",CORRIGAN CI,NONE,GARY,SUMMERS
08/28/2023,ZZSRBBRE,12/26/2018,HISPANIC,M,21,499000,CAPITAL FELONY                         F,MANSON YI,NONE,WILLIAM,CLARK
08/28/2023,ZZSHBCBB,03/14/2022,BLACK,M,19,1000505,CONSPIRACY,MACDOUGALL,NONE,JOSEPH,THOMPSON
08/28/2023,ZZHCCBHL,05/05/2023,WHITE,M,32,61000,VIOLATION OF PROBATION OR COND DISCHG,NEW HAVEN CC,NONE,CHRISTOPHER,BROWN
08/28/2023,ZZHSBZRS,07/10/2023,HISPANIC,M,45,15500,VIOLATION OF PROBATION OR COND DISCHG,HARTFORD CC,NONE,WILLIAM,MACK
08/28/2023,ZZRBJEJJ,03/04/2023,WHITE,M,54,200000,"FAILURE TO APPEAR, FIRST DEGREE       DF",NEW HAVEN CC,NONE,ROBERT,GUERRERO
08/28/2023,ZZSSSLLS,07/12/2023,BLACK,M,22,2000000,MURDER                                AF,GARNER,NONE,PATRICK,WILSON
08/28/2023,ZZSHHHWW,08/21/2023,HISPANIC,M,34,20000,"FAILURE TO APPEAR, SECOND DEGREE      AM",BRIDGEPORT CC,NONE,ANTHONY,PORTER
08/28/2023,ZZRSBSCH,05/25/2023,HISPANIC,M,45,135000,"LARCENY, FIRST DEGREE                 BF",HARTFORD CC,NONE,PAUL,JONES
08/28/2023,ZZSRRBRC,03/21/2022,HISPANIC,M,29,110500,ASSAULT ON POLICE OR FIRE OFFICER     CF,BRIDGEPORT CC,NONE,JOSEPH,WILLIAMS
08/28/2023,ZZSSECWE,10/13/2022,HISPANIC,M,35,2000000,"SEXUAL ASSAULT, FIRST DEGREE           F",WALKER RC,NONE,CHRISTIAN,HUFFMAN
